Input file size: 27196 bytes
Format verson: 0
Number of descriptors: 1272

42C2C 4*
13A2-46C2-66A4A 10 
13A2A-48C2-66A4 10 
13A2-48C2-66A4A 10 
13A2A-66A4-66B2 8 
13A2-66A4A-66B2 8 
13A2A-66A4-66C2 10 
13A2-66A4A-66C2 10 
1A4A-19A2-42C2 10 
1A4-19A2A-42C2 10 
1A2A-3A4-40C2 10 
1A2-3A4A-40C2 10 
1A4A-3A2-42C2 10 
1A4-3A2A-42C2 10 
1A2A-3A4-42C2 10 
1A2-3A4A-42C2 10 
1A4A-3A2-7C2 10 
1A4-3A2A-7C2 10 
1A4-3A2-7C2A 10 
1A2A-3A4-7C2 10 
1A2-3A4A-7C2 10 
1A2-3A4-7C2A 10 
1A4A-3C2-28A2 10 
1A4-3C2A-28A2 10 
1A4-3C2-28A2A 10 
1A4A-3C2-41A2 10 
1A4-3C2A-41A2 10 
1A4A-3C2-5A2 10 
1A4-3C2A-5A2 10 
1A4-3C2-5A2A 10 
1A4A-3C2-7A2 10 
1A4-3C2A-7A2 10 
1A4-3C2-7A2A 10 
1A4-3C2C-8A2 10*
1A4A-3C2-8A2 10 
1A4-3C2-8A2A 10 
1A4A-41A2-42C2 10 
1A2A-41A4-42C2 10 
1A4A-41C2-42A2 10 
1A4A-46D2 10 
1A4A-5A2-46C2 10 
1A4-5A2A-46C2 10 
1A4A-7A2-46C2 10 
1A4-7A2A-46C2 10 
1A2A-7A4-46C2 10 
1A2-7A4A-46C2 10 
1A4A-7C2-28A2 10 
1A4-7C2A-28A2 10 
1A4-7C2-28A2A 10 
1C2A-3A4-41A2 10 
1C2-3A4A-41A2 10 
25A4A-41D2 10 
28A2A-41A4-42C2 10 
2A4A-12A2-66C2 10 
2A4-12A2A-66C2 10 
2A4-12A2-66C2A 10 
2A4A-13A2-46C2 10 
2A4-13A2A-46C2 10 
2A4A-13A2-66B2 8 
2A4-13A2A-66B2 8 
2A4-13A2-66B2A 8 
2A4A-13A2-66C2 10 
2A4-13A2A-66C2 10 
2A4-13A2-66C2A 10 
2A4A-2A2-12B2 8 
2A4-2A2-12B2A 8 
2A4A-2A2-46C2 10 
2A4A-2A2-66B2 8 
2A4-2A2-66B2A 8 
